train_steps,agent_steps,return,env_steps,env,run
220000,4238588.0,20.3,16954352.0,atari_pong,atari_pong_dreamerv2_base
222000,4275404.5,20.4,17101618.0,atari_pong,atari_pong_dreamerv2_base
224000,4315001.5,19.9,17260006.0,atari_pong,atari_pong_dreamerv2_base
226000,4353630.0,20.0,17414520.0,atari_pong,atari_pong_dreamerv2_base
228000,4391080.5,19.7,17564322.0,atari_pong,atari_pong_dreamerv2_base
230000,4428795.5,20.2,17715182.0,atari_pong,atari_pong_dreamerv2_base
232000,4463672.5,20.6,17854690.0,atari_pong,atari_pong_dreamerv2_base
234000,4498385.0,20.3,17993540.0,atari_pong,atari_pong_dreamerv2_base
236000,4537494.0,20.4,18149976.0,atari_pong,atari_pong_dreamerv2_base
238000,4577157.5,20.2,18308630.0,atari_pong,atari_pong_dreamerv2_base
240000,4615523.0,20.3,18462092.0,atari_pong,atari_pong_dreamerv2_base
242000,4654328.0,19.8,18617312.0,atari_pong,atari_pong_dreamerv2_base
244000,4689261.5,20.4,18757046.0,atari_pong,atari_pong_dreamerv2_base
246000,4725403.5,20.2,18901614.0,atari_pong,atari_pong_dreamerv2_base
248000,4763886.0,20.1,19055544.0,atari_pong,atari_pong_dreamerv2_base
250000,4803991.5,20.4,19215966.0,atari_pong,atari_pong_dreamerv2_base
252000,4842074.5,20.4,19368298.0,atari_pong,atari_pong_dreamerv2_base
254000,4877390.5,20.2,19509562.0,atari_pong,atari_pong_dreamerv2_base
256000,4913804.0,20.1,19655216.0,atari_pong,atari_pong_dreamerv2_base
258000,4949760.5,19.5,19799042.0,atari_pong,atari_pong_dreamerv2_base
260000,4978583.0,,19914332.0,atari_pong,atari_pong_dreamerv2_base
