train_steps,agent_steps,return,env_steps,env,run
174000,3139383.5,17.8,12557534.0,atari_pong,atari_pong_gae_vtrace
176000,3175891.5,16.4,12703566.0,atari_pong,atari_pong_gae_vtrace
178000,3210828.5,16.2,12843314.0,atari_pong,atari_pong_gae_vtrace
180000,3241812.0,17.1,12967248.0,atari_pong,atari_pong_gae_vtrace
182000,3273910.0,17.2,13095640.0,atari_pong,atari_pong_gae_vtrace
184000,3305854.5,18.2,13223418.0,atari_pong,atari_pong_gae_vtrace
186000,3338318.5,17.1,13353274.0,atari_pong,atari_pong_gae_vtrace
188000,3374872.5,17.2,13499490.0,atari_pong,atari_pong_gae_vtrace
190000,3411457.0,17.2,13645828.0,atari_pong,atari_pong_gae_vtrace
192000,3447100.0,17.6,13788400.0,atari_pong,atari_pong_gae_vtrace
194000,3480475.5,16.5,13921902.0,atari_pong,atari_pong_gae_vtrace
196000,3515233.0,17.8,14060932.0,atari_pong,atari_pong_gae_vtrace
198000,3544921.0,16.6,14179684.0,atari_pong,atari_pong_gae_vtrace
200000,3578301.5,17.2,14313206.0,atari_pong,atari_pong_gae_vtrace
202000,3611705.5,17.2,14446822.0,atari_pong,atari_pong_gae_vtrace
204000,3647898.0,17.6,14591592.0,atari_pong,atari_pong_gae_vtrace
206000,3683219.0,17.4,14732876.0,atari_pong,atari_pong_gae_vtrace
208000,3715265.0,16.0,14861060.0,atari_pong,atari_pong_gae_vtrace
210000,3752702.5,17.6,15010810.0,atari_pong,atari_pong_gae_vtrace
212000,3789516.5,17.6,15158066.0,atari_pong,atari_pong_gae_vtrace
214000,3824700.0,17.7,15298800.0,atari_pong,atari_pong_gae_vtrace
216000,3860071.0,16.8,15440284.0,atari_pong,atari_pong_gae_vtrace
218000,3893659.5,17.2,15574638.0,atari_pong,atari_pong_gae_vtrace
220000,3929405.5,17.2,15717622.0,atari_pong,atari_pong_gae_vtrace
222000,3966176.0,17.3,15864704.0,atari_pong,atari_pong_gae_vtrace
224000,4003687.0,17.8,16014748.0,atari_pong,atari_pong_gae_vtrace
226000,4040316.5,18.6,16161266.0,atari_pong,atari_pong_gae_vtrace
228000,4076805.0,16.8,16307220.0,atari_pong,atari_pong_gae_vtrace
230000,4113636.5,18.0,16454546.0,atari_pong,atari_pong_gae_vtrace
232000,4148207.0,18.3,16592828.0,atari_pong,atari_pong_gae_vtrace
234000,4186791.0,17.8,16747164.0,atari_pong,atari_pong_gae_vtrace
236000,4222790.0,18.1,16891160.0,atari_pong,atari_pong_gae_vtrace
238000,4257784.5,17.5,17031138.0,atari_pong,atari_pong_gae_vtrace
240000,4291309.5,17.7,17165238.0,atari_pong,atari_pong_gae_vtrace
242000,4329057.0,18.5,17316228.0,atari_pong,atari_pong_gae_vtrace
244000,4362874.5,17.8,17451498.0,atari_pong,atari_pong_gae_vtrace
